FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	1218080.0	1886350.0	1256210.0	1469950.0	579336.0	997585.0	2212280.0	2712600.0	3244280.0	1786510.0	1736318.1
2	1218080.0	1470280.0	1256210.0	634372.0	579336.0	372844.0	2212280.0	1842810.0	962772.0	208120.0	1075710.4
3	1218080.0	877948.0	1256210.0	634372.0	579336.0	372844.0	2113010.0	651302.0	962772.0	208120.0	887399.4
4	1218080.0	502276.0	1256210.0	634372.0	579336.0	372844.0	969967.0	651302.0	516000.0	208120.0	690850.7
5	1218080.0	502276.0	1256210.0	634372.0	579336.0	372844.0	969967.0	651302.0	516000.0	208120.0	690850.7
6	1218080.0	502276.0	568727.0	634372.0	579336.0	372844.0	969967.0	651302.0	516000.0	208120.0	622102.4
7	1152280.0	502276.0	568727.0	634372.0	579336.0	372844.0	969967.0	651302.0	194590.0	208120.0	583381.4
8	1152280.0	502276.0	568727.0	634372.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	515712.5
9	1152280.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	509645.0
10	772168.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	471633.8
11	569848.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	451401.8
12	569848.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	451401.8
13	301011.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	651302.0	194590.0	208120.0	424518.1
14	246781.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	447108.0	194590.0	208120.0	398675.7
15	246781.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	447108.0	194590.0	208120.0	398675.7
16	246781.0	502276.0	568727.0	573697.0	579336.0	372844.0	293278.0	447108.0	194590.0	208120.0	398675.7
17	246781.0	502276.0	568727.0	573697.0	497256.0	372844.0	293278.0	447108.0	194590.0	208120.0	390467.7
18	246781.0	502276.0	568727.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	381821.2
19	246781.0	502276.0	568727.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	381821.2
20	246781.0	502276.0	568727.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	381821.2
21	246781.0	502276.0	568727.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	381821.2
22	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
23	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
24	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
25	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
26	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
27	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
28	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
29	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
30	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
31	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
32	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
33	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
34	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
35	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	293278.0	447108.0	194590.0	208120.0	342289.4
36	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	327229.3
37	246781.0	502276.0	173409.0	573697.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	327229.3
38	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	304019.5
39	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	304019.5
40	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	304019.5
41	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	447108.0	194590.0	208120.0	304019.5
42	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
43	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
44	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
45	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
46	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
47	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
48	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
49	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
50	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
51	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
52	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
53	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
54	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
55	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
56	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
57	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
58	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
59	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
60	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
61	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
62	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
63	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
64	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
65	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
66	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
67	246781.0	502276.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	302968.6
68	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	436599.0	194590.0	208120.0	284802.7
69	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
70	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
71	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
72	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
73	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
74	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
75	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
76	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
77	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
78	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
79	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
80	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
81	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
82	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
83	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
84	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
85	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
86	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
87	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
88	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
89	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
90	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
91	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
92	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
93	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
94	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
95	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
96	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
97	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
98	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
99	246781.0	320617.0	173409.0	341599.0	410791.0	372844.0	142677.0	364103.0	194590.0	208120.0	277553.1
100	24006.5	17730.1	72846.5	16273.3	86956.3	29855.9	28078.6	6404.24	59567.0	17692.7	35941.114
101	11166.4	17730.1	45798.4	16273.3	18724.0	24891.3	28078.6	6404.24	53531.3	12270.1	23486.774
102	11166.4	17730.1	45798.4	16273.3	18724.0	24891.3	18016.6	6404.24	49312.0	12270.1	22058.644
103	11166.4	17730.1	45798.4	16273.3	18724.0	24891.3	18016.6	6404.24	49312.0	12270.1	22058.644
104	11166.4	17730.1	45798.4	10571.2	18724.0	24891.3	18016.6	6404.24	30136.8	12270.1	19570.913999999997
105	11166.4	17730.1	45798.4	10571.2	18724.0	24891.3	18016.6	6404.24	30136.8	4613.07	18805.211
106	11166.4	17730.1	25947.4	10571.2	18724.0	24891.3	18016.6	6404.24	7869.55	4613.07	14593.385999999999
107	11166.4	17730.1	25947.4	10571.2	18724.0	24891.3	18016.6	6404.24	7869.55	4613.07	14593.385999999999
108	11166.4	17730.1	15205.0	10571.2	18724.0	24891.3	18016.6	6404.24	7869.55	4613.07	13519.145999999999
109	11166.4	8932.44	15205.0	10571.2	18724.0	24891.3	18016.6	6404.24	7869.55	4613.07	12639.38
110	11166.4	8932.44	15205.0	10571.2	18724.0	24891.3	18016.6	6404.24	7869.55	4613.07	12639.38
111	11166.4	8932.44	15205.0	10571.2	18724.0	24891.3	18016.6	6404.24	7869.55	4613.07	12639.38
112	11166.4	8932.44	15205.0	10571.2	18724.0	24891.3	18016.6	6404.24	7869.55	4613.07	12639.38
113	11166.4	8932.44	15205.0	10571.2	18724.0	24891.3	10022.5	6404.24	7869.55	4613.07	11839.970000000001
114	11166.4	8932.44	15205.0	10571.2	18724.0	24891.3	10022.5	6404.24	7869.55	4613.07	11839.970000000001
115	11166.4	8932.44	15205.0	10571.2	18724.0	16893.0	10022.5	6404.24	7869.55	4613.07	11040.14
116	11166.4	8932.44	15205.0	10571.2	18724.0	16893.0	10022.5	6404.24	7869.55	4613.07	11040.14
117	11166.4	8932.44	15205.0	10571.2	18724.0	3565.82	10022.5	6404.24	7869.55	4613.07	9707.422
118	11166.4	8932.44	15205.0	10571.2	18724.0	3565.82	10022.5	6404.24	7869.55	4613.07	9707.422
119	11166.4	8932.44	15205.0	10571.2	18724.0	3565.82	5560.13	6404.24	7869.55	4613.07	9261.185000000001
120	11166.4	8932.44	15205.0	10571.2	18724.0	3565.82	5560.13	6404.24	7869.55	4613.07	9261.185000000001
121	11166.4	8932.44	15205.0	10571.2	18724.0	3565.82	5560.13	6404.24	7869.55	4613.07	9261.185000000001
122	11166.4	8932.44	15205.0	10571.2	17113.1	3565.82	5560.13	6404.24	7869.55	4613.07	9100.095000000001
123	11166.4	8932.44	14030.7	10571.2	17113.1	3565.82	5560.13	6404.24	7869.55	4613.07	8982.664999999999
124	11166.4	8932.44	14030.7	10571.2	17113.1	2092.21	5560.13	6404.24	7869.55	4613.07	8835.304
125	11166.4	8932.44	3147.57	10571.2	17113.1	2092.21	5560.13	6404.24	7869.55	4613.07	7746.991
126	11166.4	3125.02	3147.57	10571.2	7055.57	2092.21	5560.13	6404.24	7869.55	4613.07	6160.496
127	11166.4	3125.02	3147.57	10571.2	7055.57	2092.21	3476.98	6404.24	7869.55	4613.07	5952.1810000000005
128	11166.4	3125.02	3147.57	10571.2	7055.57	2092.21	3476.98	5662.75	2429.69	4613.07	5334.046
129	4873.67	3125.02	3147.57	10571.2	7055.57	2092.21	3476.98	5662.75	2429.69	4613.07	4704.773
130	4873.67	3125.02	3147.57	3879.58	7055.57	2092.21	3476.98	4835.97	2429.69	4613.07	3952.933
131	4873.67	3125.02	3147.57	3879.58	7055.57	2092.21	3476.98	911.85	2429.69	4613.07	3560.5209999999993
132	4873.67	3125.02	3147.57	3879.58	7055.57	2092.21	3476.98	911.85	2429.69	4613.07	3560.5209999999993
133	4873.67	3125.02	3147.57	3879.58	7055.57	2092.21	3476.98	911.85	2429.69	4613.07	3560.5209999999993
134	4873.67	3125.02	3147.57	3879.58	7055.57	2092.21	3265.23	911.85	2429.69	4613.07	3539.345999999999
135	4873.67	3125.02	3147.57	3879.58	7055.57	2092.21	3265.23	911.85	2429.69	3665.33	3444.571999999999
136	4873.67	3125.02	1619.0	3758.97	7055.57	2092.21	3265.23	911.85	2429.69	3665.33	3279.6539999999995
137	4873.67	3125.02	1619.0	3758.97	7055.57	2092.21	3265.23	911.85	2429.69	3665.33	3279.6539999999995
138	4873.67	3125.02	1619.0	3758.97	7055.57	2092.21	3265.23	911.85	2429.69	3665.33	3279.6539999999995
139	4873.67	3125.02	1619.0	3758.97	1729.86	2092.21	3265.23	911.85	2429.69	3665.33	2747.0829999999996
140	4873.67	3125.02	1619.0	3758.97	1729.86	2092.21	3265.23	911.85	2429.69	3665.33	2747.0829999999996
141	2214.23	3125.02	1619.0	3758.97	1729.86	2092.21	3265.23	911.85	2429.69	3665.33	2481.139
142	2214.23	1156.08	1619.0	3758.97	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2276.1648999999998
143	2214.23	1156.08	1619.0	3758.97	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2276.1648999999998
144	2214.23	1156.08	1619.0	3758.97	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2276.1648999999998
145	2214.23	1156.08	1619.0	3758.97	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2276.1648999999998
146	2214.23	1156.08	1619.0	3758.97	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2276.1648999999998
147	2214.23	1156.08	1619.0	3758.97	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2276.1648999999998
148	2214.23	1156.08	1619.0	3758.97	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2276.1648999999998
149	2214.23	1156.08	1619.0	3758.97	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2276.1648999999998
150	2214.23	1156.08	1619.0	2883.14	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2188.5818999999997
151	2214.23	1156.08	1619.0	2883.14	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2188.5818999999997
152	2214.23	1156.08	1300.41	2883.14	1729.86	2092.21	3265.23	831.049	2429.69	3665.33	2156.7228999999998
153	2214.23	1156.08	1300.41	2883.14	1729.86	2092.21	3265.23	831.049	532.699	3665.33	1967.0238000000002
154	2214.23	1156.08	1300.41	2883.14	1729.86	2092.21	3265.23	831.049	532.699	3665.33	1967.0238000000002
155	2214.23	1156.08	1300.41	2883.14	1729.86	2092.21	1449.97	831.049	532.699	3665.33	1785.4978000000003
156	2214.23	1156.08	1300.41	2883.14	1729.86	2092.21	1449.97	831.049	532.699	3665.33	1785.4978000000003
157	2214.23	1156.08	1300.41	2883.14	1729.86	2092.21	1449.97	831.049	532.699	3665.33	1785.4978000000003
158	2214.23	1156.08	1300.41	2883.14	1729.86	2092.21	1449.97	831.049	532.699	3665.33	1785.4978000000003
159	2214.23	1156.08	1300.41	2883.14	1729.86	2092.21	1449.97	831.049	532.699	846.644	1503.6292
160	2214.23	1156.08	1096.11	2883.14	1729.86	2092.21	1449.97	831.049	532.699	846.644	1483.1992
161	2214.23	1156.08	1096.11	2883.14	1729.86	2092.21	1449.97	831.049	532.699	846.644	1483.1992
162	2214.23	1156.08	325.143	2883.14	1729.86	2092.21	1449.97	831.049	532.699	846.644	1406.1025000000002
163	2214.23	1156.08	325.143	2883.14	1729.86	2092.21	1449.97	831.049	532.699	846.644	1406.1025000000002
164	2214.23	1156.08	325.143	2883.14	1729.86	2092.21	1449.97	831.049	532.699	846.644	1406.1025000000002
165	2214.23	1156.08	325.143	2883.14	1729.86	2092.21	1449.97	831.049	532.699	846.644	1406.1025000000002
166	2214.23	1156.08	325.143	2883.14	1729.86	2092.21	1449.97	831.049	532.699	846.644	1406.1025000000002
167	2214.23	1156.08	325.143	2883.14	1729.86	2092.21	1449.97	831.049	532.699	818.081	1403.2462
168	2214.23	1156.08	325.143	2883.14	1729.86	2092.21	1449.97	479.189	532.699	818.081	1368.0602000000001
169	2214.23	1156.08	325.143	2883.14	1729.86	2092.21	1449.97	479.189	532.699	818.081	1368.0602000000001
170	2214.23	764.489	325.143	2883.14	1729.86	2092.21	1449.97	479.189	532.699	818.081	1328.9011
171	2214.23	764.489	325.143	2883.14	1729.86	2092.21	1449.97	479.189	532.699	699.425	1317.0355
172	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
173	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
174	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
175	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
176	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
177	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
178	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
179	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
180	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
181	2214.23	764.489	325.143	2883.14	1729.86	814.481	1449.97	479.189	532.699	435.69	1162.8891
182	2214.23	764.489	325.143	2883.14	1729.86	814.481	1412.32	479.189	532.699	435.69	1159.1241000000002
183	2214.23	764.489	325.143	2883.14	1729.86	814.481	1412.32	479.189	532.699	435.69	1159.1241000000002
184	2214.23	764.489	325.143	2883.14	1729.86	814.481	1412.32	479.189	532.699	435.69	1159.1241000000002
185	2214.23	764.489	325.143	2883.14	1729.86	814.481	1412.32	479.189	532.699	435.69	1159.1241000000002
186	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
187	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
188	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
189	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
190	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
191	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
192	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
193	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
194	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
195	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
196	2214.23	764.489	325.143	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1097.4041000000002
197	2214.23	764.489	225.019	2344.7	1651.1	814.481	1412.32	479.189	532.699	435.69	1087.3917000000001
198	2214.23	764.489	225.019	2344.7	1651.1	814.481	1412.32	479.189	532.699	254.09	1069.2317
199	2214.23	764.489	225.019	2344.7	1651.1	814.481	1412.32	479.189	532.699	254.09	1069.2317
200	2214.23	678.011	225.019	2344.7	1651.1	814.481	1412.32	479.189	532.699	254.09	1060.5839
201	2214.23	678.011	225.019	2344.7	1651.1	814.481	1412.32	479.189	532.699	254.09	1060.5839
202	2214.23	678.011	225.019	2344.7	1651.1	814.481	1412.32	479.189	532.699	254.09	1060.5839
203	2214.23	678.011	225.019	2344.7	1651.1	814.481	1412.32	479.189	532.699	254.09	1060.5839
204	2214.23	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	886.4625
205	2214.23	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	886.4625
206	2214.23	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	886.4625
207	1371.15	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	802.1545
208	1371.15	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	802.1545
209	1371.15	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	802.1545
210	1371.15	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	802.1545
211	1371.15	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	802.1545
212	1371.15	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	802.1545
213	1371.15	663.674	120.129	722.713	1651.1	814.481	1412.32	479.189	532.699	254.09	802.1545
214	1371.15	663.674	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	780.5795
215	1371.15	663.674	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	780.5795
216	1371.15	663.674	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	780.5795
217	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
218	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
219	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
220	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
221	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
222	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
223	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
224	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
225	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
226	1371.15	272.051	120.129	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	741.4172
227	1371.15	272.051	35.1171	722.713	1651.1	814.481	1196.57	479.189	532.699	254.09	732.91601
228	1371.15	272.051	35.1171	722.713	1651.1	814.481	1196.57	479.189	532.699	239.164	731.42341
229	1371.15	272.051	35.1171	722.713	1651.1	814.481	1196.57	479.189	532.699	239.164	731.42341
230	1371.15	272.051	35.1171	722.713	1651.1	814.481	1196.57	479.189	532.699	239.164	731.42341
231	1371.15	272.051	35.1171	722.713	1651.1	814.481	1196.57	479.189	532.699	239.164	731.42341
232	1371.15	272.051	35.1171	722.713	1651.1	814.481	604.341	479.189	532.699	239.164	672.2005099999999
233	1371.15	272.051	35.1171	722.713	1651.1	814.481	604.341	479.189	532.699	239.164	672.2005099999999
234	1371.15	272.051	35.1171	722.713	1651.1	814.481	604.341	479.189	532.699	239.164	672.2005099999999
235	1371.15	272.051	35.1171	722.713	1651.1	814.481	604.341	479.189	532.699	239.164	672.2005099999999
236	1371.15	272.051	35.1171	722.713	1651.1	814.481	604.341	479.189	532.699	239.164	672.2005099999999
237	1371.15	272.051	35.1171	722.713	1651.1	814.481	604.341	479.189	532.699	239.164	672.2005099999999
238	1371.15	272.051	35.1171	722.713	1085.92	814.481	604.341	479.189	532.699	239.164	615.68251
239	1371.15	272.051	35.1171	722.713	1085.92	814.481	604.341	479.189	532.699	239.164	615.68251
240	1371.15	272.051	35.1171	440.687	1085.92	814.481	604.341	479.189	532.699	239.164	587.4799099999999
241	1371.15	272.051	35.1171	440.687	1085.92	814.481	604.341	479.189	532.699	239.164	587.4799099999999
242	1371.15	272.051	35.1171	440.687	1085.92	814.481	604.341	479.189	532.699	239.164	587.4799099999999
243	1371.15	272.051	35.1171	440.687	1085.92	814.481	604.341	479.189	532.699	239.164	587.4799099999999
244	1371.15	272.051	35.1171	440.687	1085.92	814.481	604.341	479.189	532.699	239.164	587.4799099999999
245	1371.15	272.051	35.1171	440.687	1085.92	814.481	604.341	479.189	532.699	239.164	587.4799099999999
246	1371.15	272.051	35.1171	440.687	896.55	814.481	604.341	479.189	532.699	239.164	568.5429099999999
247	1371.15	272.051	35.1171	440.687	896.55	814.481	604.341	479.189	532.699	239.164	568.5429099999999
248	1371.15	272.051	35.1171	440.687	896.55	814.481	604.341	479.189	532.699	239.164	568.5429099999999
249	1371.15	272.051	35.1171	440.687	737.329	814.481	604.341	479.189	532.699	239.164	552.62081
