FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	1.61600e+06	9.62700e+05	9.10600e+05	2.07900e+06	1.59500e+06	1.73500e+06	2.81900e+06	4.83300e+05	1.05600e+06	1.65400e+06	1.49106e+06
2	2.61200e+05	9.62700e+05	8.03300e+05	1.96400e+06	1.59500e+06	1.73500e+06	1.05300e+06	4.83300e+05	9.72400e+05	1.36900e+06	1.11989e+06
3	2.61200e+05	9.62700e+05	5.48100e+05	1.03900e+06	1.59500e+06	1.73500e+06	1.05300e+06	4.83300e+05	9.72400e+05	1.36900e+06	1.00187e+06
4	2.61200e+05	9.62700e+05	5.48100e+05	1.03900e+06	1.59500e+06	1.73500e+06	1.05300e+06	4.83300e+05	9.72400e+05	6.32400e+05	9.28210e+05
5	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	1.59500e+06	1.64100e+06	1.05300e+06	4.15000e+05	9.72400e+05	6.32400e+05	8.71860e+05
6	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	8.38700e+05	1.64100e+06	1.05300e+06	4.15000e+05	9.72400e+05	6.32400e+05	7.96230e+05
7	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	8.38700e+05	1.64100e+06	1.05300e+06	4.15000e+05	9.72400e+05	6.32400e+05	7.96230e+05
8	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	8.38700e+05	1.64100e+06	1.05300e+06	4.15000e+05	9.72400e+05	6.32400e+05	7.96230e+05
9	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	8.38700e+05	1.64100e+06	1.05300e+06	4.15000e+05	3.27500e+05	6.32400e+05	7.31740e+05
10	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	8.38700e+05	1.64100e+06	1.05300e+06	4.15000e+05	3.27500e+05	6.32400e+05	7.31740e+05
11	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	8.38700e+05	1.64100e+06	1.05300e+06	4.15000e+05	3.27500e+05	2.10900e+05	6.89590e+05
12	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	8.38700e+05	1.24400e+06	1.05300e+06	4.15000e+05	3.27500e+05	2.10900e+05	6.49890e+05
13	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	5.66100e+05	1.24400e+06	1.05300e+06	4.15000e+05	3.27500e+05	2.10900e+05	6.22630e+05
14	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	5.66100e+05	1.24400e+06	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	5.85320e+05
15	2.61200e+05	9.62700e+05	5.48100e+05	6.37800e+05	5.66100e+05	1.24400e+06	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	5.85320e+05
16	2.61200e+05	4.61600e+05	5.48100e+05	6.37800e+05	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.89990e+05
17	2.61200e+05	4.61600e+05	5.48100e+05	6.37800e+05	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.89990e+05
18	2.61200e+05	4.61600e+05	5.48100e+05	6.37800e+05	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.89990e+05
19	2.61200e+05	4.61600e+05	5.48100e+05	6.37800e+05	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.89990e+05
20	2.61200e+05	4.61600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.32322e+05
21	2.61200e+05	4.61600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.32322e+05
22	2.61200e+05	4.61600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.32322e+05
23	2.61200e+05	4.61600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.32322e+05
24	2.61200e+05	4.61600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	6.79900e+05	4.15000e+05	3.27500e+05	2.10900e+05	4.32322e+05
25	2.61200e+05	4.61600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	6.79900e+05	3.47900e+05	3.27500e+05	2.10900e+05	4.25612e+05
26	2.61200e+05	1.29600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	6.79900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.92412e+05
27	2.61200e+05	1.29600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	6.79900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.92412e+05
28	2.61200e+05	1.29600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.59612e+05
29	2.61200e+05	1.29600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.59612e+05
30	2.61200e+05	1.29600e+05	5.48100e+05	6.11200e+04	5.66100e+05	7.91800e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.59612e+05
31	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
32	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
33	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
34	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
35	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
36	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
37	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
38	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
39	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
40	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	3.27500e+05	2.10900e+05	3.08262e+05
41	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
42	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
43	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
44	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
45	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
46	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
47	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
48	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
49	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
50	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
51	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
52	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
53	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
54	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
55	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
56	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
57	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
58	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
59	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
60	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	5.66100e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.92522e+05
61	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
62	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
63	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
64	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
65	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
66	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
67	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
68	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
69	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
70	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
71	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
72	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
73	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
74	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
75	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
76	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
77	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
78	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
79	2.61200e+05	1.29600e+05	3.92000e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.56372e+05
80	2.61200e+05	1.29600e+05	2.21600e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.39332e+05
81	2.61200e+05	1.29600e+05	2.21600e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.39332e+05
82	2.61200e+05	1.29600e+05	2.21600e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.39332e+05
83	2.61200e+05	1.29600e+05	2.21600e+05	6.11200e+04	2.04600e+05	4.34400e+05	3.51900e+05	3.47900e+05	1.70100e+05	2.10900e+05	2.39332e+05
